claim_id,tier,published,title,url
093db9625c02,self-reported,,Wikidata — National Oceanic and Atmospheric Administration (Q214700),https://www.wikidata.org/wiki/Q214700
c577847cdd55,self-reported,,Wikidata — National Oceanic and Atmospheric Administration (Q214700),https://www.wikidata.org/wiki/Q214700
0973efce2d88,filed,2025-03-01,USAspending award — 1305M425F0034,https://www.usaspending.gov/award/CONT_AWD_1305M425F0034_1330_1305L419ANAAJ0008_1330
fdb751f2f248,filed,2024-02-01,USAspending award — 1305M224F0065,https://www.usaspending.gov/award/CONT_AWD_1305M224F0065_1330_DOCEA133W17CQ0082_1330
b7acb6c479a3,filed,2026-06-01,USAspending award — 1305M426C0007,https://www.usaspending.gov/award/CONT_AWD_1305M426C0007_1330_-NONE-_-NONE-
